wavelength,power
537nm(mW/m^2);124,280434
538nm(mW/m^2);123,602821
539nm(mW/m^2);123,20355
540nm(mW/m^2);122,624802
541nm(mW/m^2);122,380608
542nm(mW/m^2);122,92644
543nm(mW/m^2);121,772461
544nm(mW/m^2);121,532906
545nm(mW/m^2);121,399033
546nm(mW/m^2);121,457054
547nm(mW/m^2);121,634903
548nm(mW/m^2);121,894516
549nm(mW/m^2);122,100403
550nm(mW/m^2);122,291451
551nm(mW/m^2);122,591232
552nm(mW/m^2);123,21553
553nm(mW/m^2);123,559036
554nm(mW/m^2);124,118141
555nm(mW/m^2);124,823212
556nm(mW/m^2);125,695763
557nm(mW/m^2);126,708992
558nm(mW/m^2);127,706131
559nm(mW/m^2);128,646652
560nm(mW/m^2);129,56546
561nm(mW/m^2);130,494049
562nm(mW/m^2);131,444565
563nm(mW/m^2);132,410507
564nm(mW/m^2);133,384323
565nm(mW/m^2);134,347748
566nm(mW/m^2);135,322922
567nm(mW/m^2);136,358536
568nm(mW/m^2);137,450775
569nm(mW/m^2);138,506851
570nm(mW/m^2);139,485611
571nm(mW/m^2);140,429794
572nm(mW/m^2);141,414505
573nm(mW/m^2);142,432602
574nm(mW/m^2);143,444931
575nm(mW/m^2);144,367249
576nm(mW/m^2);145,69626
577nm(mW/m^2);145,584198
578nm(mW/m^2);146,177338
579nm(mW/m^2);146,98613
580nm(mW/m^2);147,745178
581nm(mW/m^2);148,239182
582nm(mW/m^2);148,486877
583nm(mW/m^2);148,735184
584nm(mW/m^2);148,994431
585nm(mW/m^2);149,225784
586nm(mW/m^2);149,403595
587nm(mW/m^2);149,493027
588nm(mW/m^2);149,511292
589nm(mW/m^2);149,399231
590nm(mW/m^2);149,208466
591nm(mW/m^2);148,972778
592nm(mW/m^2);148,773987
593nm(mW/m^2);148,509735
594nm(mW/m^2);148,92148
595nm(mW/m^2);147,501266
596nm(mW/m^2);146,822708
597nm(mW/m^2);146,140213
598nm(mW/m^2);145,539444
599nm(mW/m^2);145,25436
600nm(mW/m^2);144,460327
601nm(mW/m^2);143,772369
602nm(mW/m^2);143,578
603nm(mW/m^2);142,434525
604nm(mW/m^2);141,85643
605nm(mW/m^2);141,224609
606nm(mW/m^2);140,666565
607nm(mW/m^2);140,316788
608nm(mW/m^2);140,113327
609nm(mW/m^2);139,828995
610nm(mW/m^2);139,368423
611nm(mW/m^2);138,792191
612nm(mW/m^2);138,208588
613nm(mW/m^2);137,70195
614nm(mW/m^2);137,295471
615nm(mW/m^2);137,199326
616nm(mW/m^2);137,336105
617nm(mW/m^2);137,6996
618nm(mW/m^2);138,64484
619nm(mW/m^2);138,376678
620nm(mW/m^2);138,61998
621nm(mW/m^2);138,972534
622nm(mW/m^2);139,577179
623nm(mW/m^2);140,537094
624nm(mW/m^2);141,743668
625nm(mW/m^2);143,64041
626nm(mW/m^2);144,357391
627nm(mW/m^2);145,682602
628nm(mW/m^2);147,313141
629nm(mW/m^2);149,381348
630nm(mW/m^2);151,975525
631nm(mW/m^2);154,935532
632nm(mW/m^2);158,487656
633nm(mW/m^2);162,43219
634nm(mW/m^2);166,837601
635nm(mW/m^2);171,411285
636nm(mW/m^2);176,412292
637nm(mW/m^2);181,702911
638nm(mW/m^2);187,436188
639nm(mW/m^2);193,337936
640nm(mW/m^2);199,834229
641nm(mW/m^2);206,787567
642nm(mW/m^2);214,25192
643nm(mW/m^2);221,100067
644nm(mW/m^2);227,71521
645nm(mW/m^2);233,994507
646nm(mW/m^2);239,361267
647nm(mW/m^2);243,9505
648nm(mW/m^2);246,752625
649nm(mW/m^2);248,86319
650nm(mW/m^2);246,821579
651nm(mW/m^2);243,638626
652nm(mW/m^2);237,739792
653nm(mW/m^2);230,40924
654nm(mW/m^2);219,929977
655nm(mW/m^2);208,151108
656nm(mW/m^2);194,876328
657nm(mW/m^2);181,34348
658nm(mW/m^2);166,986572
659nm(mW/m^2);152,917618
660nm(mW/m^2);139,513184
661nm(mW/m^2);126,940117
662nm(mW/m^2);115,589684
663nm(mW/m^2);104,94912
664nm(mW/m^2);95,472542
665nm(mW/m^2);86,918671
666nm(mW/m^2);79,586975
667nm(mW/m^2);72,910683
668nm(mW/m^2);67,1082
669nm(mW/m^2);61,823528
670nm(mW/m^2);57,294762
671nm(mW/m^2);53,17511
672nm(mW/m^2);49,74501
673nm(mW/m^2);46,698673
674nm(mW/m^2);44,93208
675nm(mW/m^2);41,609783
676nm(mW/m^2);39,453693
677nm(mW/m^2);37,54718
678nm(mW/m^2);35,933208
679nm(mW/m^2);34,374355
680nm(mW/m^2);32,800308
681nm(mW/m^2);31,211521
682nm(mW/m^2);29,768938
683nm(mW/m^2);28,531712
684nm(mW/m^2);27,436785
685nm(mW/m^2);26,402058
686nm(mW/m^2);25,494926
687nm(mW/m^2);24,648945
688nm(mW/m^2);23,753525
689nm(mW/m^2);22,789751
690nm(mW/m^2);21,846853
691nm(mW/m^2);21,2602
692nm(mW/m^2);20,292549
693nm(mW/m^2);19,660336
694nm(mW/m^2);19,76485
695nm(mW/m^2);18,453903
696nm(mW/m^2);17,770985
697nm(mW/m^2);17,93311
698nm(mW/m^2);16,503139
699nm(mW/m^2);16,4465
700nm(mW/m^2);15,528047
701nm(mW/m^2);15,60916
702nm(mW/m^2);14,618807
703nm(mW/m^2);14,227251
704nm(mW/m^2);13,820677
705nm(mW/m^2);13,344087
706nm(mW/m^2);12,697656
707nm(mW/m^2);11,977897
708nm(mW/m^2);11,488944
709nm(mW/m^2);11,269941
710nm(mW/m^2);11,193058
711nm(mW/m^2);10,994085
712nm(mW/m^2);10,733994
713nm(mW/m^2);10,410987
714nm(mW/m^2);9,950794
715nm(mW/m^2);9,462125
716nm(mW/m^2);9,69843
717nm(mW/m^2);8,783964
718nm(mW/m^2);8,488178
719nm(mW/m^2);8,202247
720nm(mW/m^2);7,913326
721nm(mW/m^2);7,541596
722nm(mW/m^2);7,128614
723nm(mW/m^2);6,769624
724nm(mW/m^2);6,610749
725nm(mW/m^2);6,574862
726nm(mW/m^2);6,617533
727nm(mW/m^2);6,566475
728nm(mW/m^2);6,274689
729nm(mW/m^2);5,875851
730nm(mW/m^2);5,532598
731nm(mW/m^2);5,384323
732nm(mW/m^2);5,28064
733nm(mW/m^2);5,16427
734nm(mW/m^2);4,680346
735nm(mW/m^2);4,417562
736nm(mW/m^2);4,365064
737nm(mW/m^2);4,437368
738nm(mW/m^2);4,401052
739nm(mW/m^2);4,245154
740nm(mW/m^2);3,955185
741nm(mW/m^2);3,729589
742nm(mW/m^2);3,648862
743nm(mW/m^2);3,541046
744nm(mW/m^2);3,32314
745nm(mW/m^2);3,150907
746nm(mW/m^2);3,143283
747nm(mW/m^2);3,217358
748nm(mW/m^2);3,171689
749nm(mW/m^2);3,78163
750nm(mW/m^2);2,992953
751nm(mW/m^2);2,904596
752nm(mW/m^2);2,82844
753nm(mW/m^2);2,733466
754nm(mW/m^2);2,595794
755nm(mW/m^2);2,482059
756nm(mW/m^2);2,441121
757nm(mW/m^2);2,474101
758nm(mW/m^2);2,423239
759nm(mW/m^2);2,303885
760nm(mW/m^2);2,273724
761nm(mW/m^2);2,311947
762nm(mW/m^2);2,325309
763nm(mW/m^2);2,106046
764nm(mW/m^2);1,798282
765nm(mW/m^2);1,648634
766nm(mW/m^2);1,640288
767nm(mW/m^2);1,689621
768nm(mW/m^2);1,826533
769nm(mW/m^2);1,963566
770nm(mW/m^2);1,925496
771nm(mW/m^2);1,847454
772nm(mW/m^2);1,887351
773nm(mW/m^2);2,57459
774nm(mW/m^2);1,891178
775nm(mW/m^2);1,349313
776nm(mW/m^2);0,90113
777nm(mW/m^2);0,665438
778nm(mW/m^2);0,68551
779nm(mW/m^2);0,68551
780nm(mW/m^2);0,68551
