wavelength,power
380nm(mW/m^2);0,0
381nm(mW/m^2);0,0
382nm(mW/m^2);0,0
383nm(mW/m^2);0,0
384nm(mW/m^2);0,0
385nm(mW/m^2);0,0
386nm(mW/m^2);0,0
387nm(mW/m^2);0,0
388nm(mW/m^2);0,0
389nm(mW/m^2);0,0
390nm(mW/m^2);0,0
391nm(mW/m^2);0,0
392nm(mW/m^2);0,0
393nm(mW/m^2);0,25098
394nm(mW/m^2);0,79876
395nm(mW/m^2);0,149722
396nm(mW/m^2);0,164746
397nm(mW/m^2);0,120365
398nm(mW/m^2);0,79367
399nm(mW/m^2);0,11246
400nm(mW/m^2);0,220414
401nm(mW/m^2);0,367513
402nm(mW/m^2);0,527838
403nm(mW/m^2);0,685402
404nm(mW/m^2);0,810613
405nm(mW/m^2);0,903471
406nm(mW/m^2);0,978695
407nm(mW/m^2);1,53358
408nm(mW/m^2);1,133872
409nm(mW/m^2);1,23525
410nm(mW/m^2);1,357558
411nm(mW/m^2);1,571833
412nm(mW/m^2);1,892166
413nm(mW/m^2);2,324336
414nm(mW/m^2);2,821618
415nm(mW/m^2);3,355408
416nm(mW/m^2);3,955058
417nm(mW/m^2);4,614206
418nm(mW/m^2);5,337736
419nm(mW/m^2);6,26802
420nm(mW/m^2);7,380693
421nm(mW/m^2);8,737095
422nm(mW/m^2);10,235239
423nm(mW/m^2);11,875123
424nm(mW/m^2);13,819356
425nm(mW/m^2);16,1453
426nm(mW/m^2);18,565825
427nm(mW/m^2);21,430813
428nm(mW/m^2);24,587379
429nm(mW/m^2);28,200214
430nm(mW/m^2);32,144657
431nm(mW/m^2);36,518002
432nm(mW/m^2);41,311779
433nm(mW/m^2);46,464256
434nm(mW/m^2);52,15733
435nm(mW/m^2);58,231319
436nm(mW/m^2);64,757347
437nm(mW/m^2);71,745789
438nm(mW/m^2);79,94948
439nm(mW/m^2);86,931
440nm(mW/m^2);95,64735
441nm(mW/m^2);103,442497
442nm(mW/m^2);111,517487
443nm(mW/m^2);119,189369
444nm(mW/m^2);126,98656
445nm(mW/m^2);132,328094
446nm(mW/m^2);137,750061
447nm(mW/m^2);141,433838
448nm(mW/m^2);143,646179
449nm(mW/m^2);143,77298
450nm(mW/m^2);142,599289
451nm(mW/m^2);140,66376
452nm(mW/m^2);135,970886
453nm(mW/m^2);130,871628
454nm(mW/m^2);124,672318
455nm(mW/m^2);118,19191
456nm(mW/m^2);111,441391
457nm(mW/m^2);104,792236
458nm(mW/m^2);98,370621
459nm(mW/m^2);92,485779
460nm(mW/m^2);87,182648
461nm(mW/m^2);82,492096
462nm(mW/m^2);78,601906
463nm(mW/m^2);75,250656
464nm(mW/m^2);72,687965
465nm(mW/m^2);70,618492
466nm(mW/m^2);69,75874
467nm(mW/m^2);68,142334
468nm(mW/m^2);67,605125
469nm(mW/m^2);67,788383
470nm(mW/m^2);68,562241
471nm(mW/m^2);69,991814
472nm(mW/m^2);72,14975
473nm(mW/m^2);74,803185
474nm(mW/m^2);78,19619
475nm(mW/m^2);82,56274
476nm(mW/m^2);86,457733
477nm(mW/m^2);91,393585
478nm(mW/m^2);96,705917
479nm(mW/m^2);102,312134
480nm(mW/m^2);107,907082
481nm(mW/m^2);113,404503
482nm(mW/m^2);118,593941
483nm(mW/m^2);123,478355
484nm(mW/m^2);127,53756
485nm(mW/m^2);130,868622
486nm(mW/m^2);133,252472
487nm(mW/m^2);134,950043
488nm(mW/m^2);136,82977
489nm(mW/m^2);136,156876
490nm(mW/m^2);135,478134
491nm(mW/m^2);133,770432
492nm(mW/m^2);131,48526
493nm(mW/m^2);128,655151
494nm(mW/m^2);125,484222
495nm(mW/m^2);122,234528
496nm(mW/m^2);119,37766
497nm(mW/m^2);116,30968
498nm(mW/m^2);113,273743
499nm(mW/m^2);110,830742
500nm(mW/m^2);108,637115
501nm(mW/m^2);107,6767
502nm(mW/m^2);105,829506
503nm(mW/m^2);105,163078
504nm(mW/m^2);104,715385
505nm(mW/m^2);104,41111
506nm(mW/m^2);104,581017
507nm(mW/m^2);105,1437
508nm(mW/m^2);106,157921
509nm(mW/m^2);107,2752
510nm(mW/m^2);108,544128
511nm(mW/m^2);110,76004
512nm(mW/m^2);111,830826
513nm(mW/m^2);113,72628
514nm(mW/m^2);115,581116
515nm(mW/m^2);117,403305
516nm(mW/m^2);119,236443
517nm(mW/m^2);121,79117
518nm(mW/m^2);122,809563
519nm(mW/m^2);124,417923
520nm(mW/m^2);125,806725
521nm(mW/m^2);127,43518
522nm(mW/m^2);128,86914
523nm(mW/m^2);128,958176
524nm(mW/m^2);129,703598
525nm(mW/m^2);130,4895
526nm(mW/m^2);130,67947
527nm(mW/m^2);129,802795
528nm(mW/m^2);129,596024
529nm(mW/m^2);129,383163
530nm(mW/m^2);128,906998
531nm(mW/m^2);128,140533
532nm(mW/m^2);127,266388
533nm(mW/m^2);126,50972
534nm(mW/m^2);125,903374
535nm(mW/m^2);125,364532
536nm(mW/m^2);124,859512
