wavelength,Vlambda
677.0212765957447,709.0
677.872340425532,710.0
678.7234042553191,711.0
679.5744680851064,712.0
680.4255319148936,713.0
681.2765957446809,714.0
682.1276595744681,715.0
682.9787234042553,716.0
683.8297872340426,717.0
684.6808510638298,718.0
685.531914893617,719.0
686.3829787234042,720.0
687.2340425531916,721.0
688.0851063829787,722.0
688.936170212766,723.0
689.7872340425531,724.0
690.6382978723404,725.0
691.4893617021277,726.0
692.3404255319149,727.0
693.1914893617021,728.0
694.0425531914893,729.0
694.8936170212767,730.0
695.7446808510638,731.0
696.5957446808511,732.0
697.4468085106382,733.0
698.2978723404256,734.0
699.1489361702128,735.0
700.0,736.0
700.8510638297872,737.0
701.7021276595744,738.0
702.5531914893618,739.0
703.4042553191489,740.0
704.2553191489362,741.0
705.1063829787233,742.0
705.9574468085107,743.0
706.8085106382979,744.0
707.6595744680851,745.0
708.5106382978723,746.0
709.3617021276596,747.0
710.2127659574469,748.0
711.063829787234,749.0
711.9148936170213,750.0
712.7659574468084,751.0
713.6170212765958,752.0
714.468085106383,753.0
715.3191489361702,754.0
716.1702127659574,755.0
717.0212765957447,756.0
717.872340425532,757.0
718.7234042553191,758.0
719.5744680851064,759.0
720.4255319148936,760.0
721.2765957446809,761.0
722.1276595744681,762.0
722.9787234042553,763.0
723.8297872340426,764.0
724.6808510638298,765.0
725.531914893617,766.0
726.3829787234042,767.0
727.2340425531916,768.0
728.0851063829787,769.0
728.936170212766,770.0
729.7872340425531,771.0
730.6382978723404,772.0
731.4893617021277,773.0
732.3404255319149,774.0
733.1914893617021,775.0
734.0425531914893,776.0
734.8936170212767,777.0
735.7446808510638,778.0
736.5957446808511,779.0
737.4468085106382,780.0
738.2978723404256,781.0
739.1489361702128,782.0
740.0,783.0
740.8510638297872,784.0
741.7021276595744,785.0
742.5531914893618,786.0
743.4042553191489,787.0
744.2553191489362,788.0
745.1063829787233,789.0
745.9574468085107,790.0
746.8085106382979,791.0
747.6595744680851,792.0
748.5106382978723,793.0
749.3617021276596,794.0
750.2127659574469,795.0
751.063829787234,796.0
751.9148936170213,797.0
752.7659574468084,798.0
753.6170212765958,799.0
754.468085106383,800.0
755.3191489361702,801.0
756.1702127659574,802.0
757.0212765957447,803.0
757.872340425532,804.0
758.7234042553191,805.0
759.5744680851064,806.0
760.4255319148936,807.0
761.2765957446809,808.0
762.1276595744681,809.0
762.9787234042553,810.0
763.8297872340426,811.0
764.6808510638298,812.0
765.531914893617,813.0
766.3829787234042,814.0
767.2340425531916,815.0
768.0851063829787,816.0
768.936170212766,817.0
769.7872340425532,818.0
770.6382978723404,819.0
771.4893617021277,820.0
772.3404255319149,821.0
773.1914893617021,822.0
774.0425531914893,823.0
774.8936170212767,824.0
775.7446808510638,825.0
776.5957446808511,826.0
777.4468085106382,827.0
778.2978723404256,828.0
779.1489361702128,829.0
780.0,830.0
