wavelength,Vlambda
380.0,360.0
380.8510638297872,361.0
381.70212765957444,362.0
382.5531914893617,363.0
383.40425531914894,364.0
384.25531914893617,365.0
385.1063829787234,366.0
385.9574468085106,367.0
386.8085106382979,368.0
387.6595744680851,369.0
388.51063829787233,370.0
389.36170212765956,371.0
390.21276595744683,372.0
391.06382978723406,373.0
391.9148936170213,374.0
392.7659574468085,375.0
393.6170212765957,376.0
394.468085106383,377.0
395.3191489361702,378.0
396.17021276595744,379.0
397.02127659574467,380.0
397.8723404255319,381.0
398.72340425531917,382.0
399.5744680851064,383.0
400.4255319148936,384.0
401.27659574468083,385.0
402.1276595744681,386.0
402.97872340425533,387.0
403.82978723404256,388.0
404.6808510638298,389.0
405.531914893617,390.0
406.3829787234043,391.0
407.2340425531915,392.0
408.0851063829787,393.0
408.93617021276594,394.0
409.78723404255317,395.0
410.63829787234044,396.0
411.48936170212767,397.0
412.3404255319149,398.0
413.1914893617021,399.0
414.04255319148933,400.0
414.8936170212766,401.0
415.74468085106383,402.0
416.59574468085106,403.0
417.4468085106383,404.0
418.29787234042556,405.0
419.1489361702128,406.0
420.0,407.0
420.8510638297872,408.0
421.70212765957444,409.0
422.5531914893617,410.0
423.40425531914894,411.0
424.25531914893617,412.0
425.1063829787234,413.0
425.95744680851067,414.0
426.8085106382979,415.0
427.6595744680851,416.0
428.51063829787233,417.0
429.36170212765956,418.0
430.2127659574468,419.0
431.06382978723406,420.0
431.9148936170213,421.0
432.7659574468085,422.0
433.6170212765957,423.0
434.468085106383,424.0
435.3191489361702,425.0
436.17021276595744,426.0
437.02127659574467,427.0
437.8723404255319,428.0
438.72340425531917,429.0
439.5744680851064,430.0
440.4255319148936,431.0
441.27659574468083,432.0
442.1276595744681,433.0
442.97872340425533,434.0
443.82978723404256,435.0
444.6808510638298,436.0
445.531914893617,437.0
446.3829787234042,438.0
447.2340425531915,439.0
448.0851063829787,440.0
448.93617021276594,441.0
449.7872340425532,442.0
450.63829787234044,443.0
451.48936170212767,444.0
452.3404255319149,445.0
453.1914893617021,446.0
454.04255319148933,447.0
454.8936170212766,448.0
455.74468085106383,449.0
456.59574468085106,450.0
457.4468085106383,451.0
458.29787234042556,452.0
459.1489361702128,453.0
460.0,454.0
460.8510638297872,455.0
461.70212765957444,456.0
462.5531914893617,457.0
463.40425531914894,458.0
464.25531914893617,459.0
465.1063829787234,460.0
465.95744680851067,461.0
466.8085106382979,462.0
467.6595744680851,463.0
468.51063829787233,464.0
469.36170212765956,465.0
470.2127659574468,466.0
471.06382978723406,467.0
471.9148936170213,468.0
472.7659574468085,469.0
473.6170212765958,470.0
474.468085106383,471.0
475.3191489361702,472.0
476.17021276595744,473.0
477.02127659574467,474.0
477.8723404255319,475.0
478.72340425531917,476.0
479.5744680851064,477.0
480.4255319148936,478.0
481.27659574468083,479.0
482.1276595744681,480.0
482.97872340425533,481.0
483.82978723404256,482.0
484.6808510638298,483.0
485.531914893617,484.0
486.3829787234042,485.0
487.2340425531915,486.0
488.0851063829787,487.0
488.93617021276594,488.0
489.7872340425532,489.0
490.63829787234044,490.0
491.48936170212767,491.0
492.3404255319149,492.0
493.1914893617021,493.0
494.04255319148933,494.0
494.8936170212766,495.0
495.74468085106383,496.0
496.59574468085106,497.0
497.44680851063833,498.0
498.29787234042556,499.0
499.1489361702128,500.0
500.0,501.0
500.8510638297872,502.0
501.70212765957444,503.0
502.5531914893617,504.0
503.40425531914894,505.0
504.25531914893617,506.0
505.1063829787234,507.0
505.95744680851067,508.0
506.8085106382979,509.0
507.6595744680851,510.0
508.51063829787233,511.0
509.36170212765956,512.0
510.2127659574468,513.0
511.06382978723406,514.0
511.9148936170213,515.0
512.7659574468084,516.0
513.6170212765958,517.0
514.468085106383,518.0
515.3191489361702,519.0
516.1702127659574,520.0
517.0212765957447,521.0
517.8723404255319,522.0
518.7234042553191,523.0
519.5744680851064,524.0
520.4255319148936,525.0
521.2765957446809,526.0
522.1276595744681,527.0
522.9787234042553,528.0
523.8297872340426,529.0
524.6808510638298,530.0
525.531914893617,531.0
526.3829787234042,532.0
527.2340425531916,533.0
528.0851063829787,534.0
528.936170212766,535.0
529.7872340425532,536.0
530.6382978723404,537.0
531.4893617021277,538.0
532.3404255319149,539.0
533.1914893617021,540.0
534.0425531914893,541.0
534.8936170212766,542.0
535.7446808510638,543.0
536.5957446808511,544.0
537.4468085106383,545.0
538.2978723404256,546.0
539.1489361702128,547.0
540.0,548.0
540.8510638297872,549.0
541.7021276595744,550.0
542.5531914893617,551.0
543.4042553191489,552.0
544.2553191489362,553.0
545.1063829787234,554.0
545.9574468085107,555.0
546.8085106382979,556.0
547.6595744680851,557.0
548.5106382978723,558.0
549.3617021276596,559.0
550.2127659574468,560.0
551.063829787234,561.0
551.9148936170213,562.0
