wavelength,power
555nm(mW/m^2);129,950836
556nm(mW/m^2);129,710938
557nm(mW/m^2);129,619934
558nm(mW/m^2);129,64801
559nm(mW/m^2);129,749313
560nm(mW/m^2);129,793655
561nm(mW/m^2);129,731186
562nm(mW/m^2);129,768097
563nm(mW/m^2);130,12833
564nm(mW/m^2);130,370911
565nm(mW/m^2);130,599579
566nm(mW/m^2);130,699966
567nm(mW/m^2);130,804382
568nm(mW/m^2);130,978363
569nm(mW/m^2);131,284775
570nm(mW/m^2);131,685883
571nm(mW/m^2);131,999924
572nm(mW/m^2);132,112579
573nm(mW/m^2);132,226196
574nm(mW/m^2);132,644653
575nm(mW/m^2);133,304047
576nm(mW/m^2);133,838058
577nm(mW/m^2);134,132584
578nm(mW/m^2);134,404312
579nm(mW/m^2);134,817139
580nm(mW/m^2);134,987885
581nm(mW/m^2);134,751724
582nm(mW/m^2);134,40271
583nm(mW/m^2);134,448532
584nm(mW/m^2);134,793396
585nm(mW/m^2);134,978928
586nm(mW/m^2);134,884155
587nm(mW/m^2);134,713394
588nm(mW/m^2);134,625259
589nm(mW/m^2);134,448898
590nm(mW/m^2);134,117477
591nm(mW/m^2);133,644684
592nm(mW/m^2);133,181427
593nm(mW/m^2);132,676468
594nm(mW/m^2);132,93262
595nm(mW/m^2);131,418686
596nm(mW/m^2);130,690079
597nm(mW/m^2);129,989487
598nm(mW/m^2);129,471924
599nm(mW/m^2);129,115814
600nm(mW/m^2);128,531708
601nm(mW/m^2);127,576256
602nm(mW/m^2);126,616531
603nm(mW/m^2);126,15213
604nm(mW/m^2);125,644272
605nm(mW/m^2);125,131905
606nm(mW/m^2);124,448738
607nm(mW/m^2);123,720947
608nm(mW/m^2);122,951866
609nm(mW/m^2);122,99304
610nm(mW/m^2);121,169266
611nm(mW/m^2);120,208206
612nm(mW/m^2);119,311531
613nm(mW/m^2);118,729836
614nm(mW/m^2);118,450981
615nm(mW/m^2);118,348824
616nm(mW/m^2);118,16851
617nm(mW/m^2);117,923218
618nm(mW/m^2);117,689743
619nm(mW/m^2);117,453476
620nm(mW/m^2);117,199669
621nm(mW/m^2);117,149124
622nm(mW/m^2);117,426918
623nm(mW/m^2);118,3299
624nm(mW/m^2);118,742218
