wavelength,power
537nm(mW/m^2);188,5859
538nm(mW/m^2);185,679291
539nm(mW/m^2);183,412064
540nm(mW/m^2);181,18869
541nm(mW/m^2);179,235077
542nm(mW/m^2);177,670654
543nm(mW/m^2);176,477951
544nm(mW/m^2);175,394043
545nm(mW/m^2);174,259583
546nm(mW/m^2);173,163086
547nm(mW/m^2);172,145004
548nm(mW/m^2);171,294556
549nm(mW/m^2);170,585785
550nm(mW/m^2);170,59113
551nm(mW/m^2);169,710312
552nm(mW/m^2);169,491211
553nm(mW/m^2);169,377426
554nm(mW/m^2);169,284088
555nm(mW/m^2);169,360504
556nm(mW/m^2);169,637939
557nm(mW/m^2);170,65048
558nm(mW/m^2);170,43129
559nm(mW/m^2);170,722473
560nm(mW/m^2);171,15921
561nm(mW/m^2);171,801804
562nm(mW/m^2);172,635971
563nm(mW/m^2);173,494827
564nm(mW/m^2);174,381775
565nm(mW/m^2);175,276718
566nm(mW/m^2);176,160492
567nm(mW/m^2);177,58
568nm(mW/m^2);177,797714
569nm(mW/m^2);178,591949
570nm(mW/m^2);179,412308
571nm(mW/m^2);180,144394
572nm(mW/m^2);180,745621
573nm(mW/m^2);181,309326
574nm(mW/m^2);182,8163
575nm(mW/m^2);182,790558
576nm(mW/m^2);183,438995
577nm(mW/m^2);183,92308
578nm(mW/m^2);184,522537
579nm(mW/m^2);185,361481
580nm(mW/m^2);185,934219
581nm(mW/m^2);185,977585
582nm(mW/m^2);185,686493
583nm(mW/m^2);185,630661
584nm(mW/m^2);185,843872
585nm(mW/m^2);186,106781
586nm(mW/m^2);186,320221
587nm(mW/m^2);186,489838
588nm(mW/m^2);186,622345
589nm(mW/m^2);186,263962
590nm(mW/m^2);185,429398
591nm(mW/m^2);184,491745
592nm(mW/m^2);183,978806
593nm(mW/m^2);183,65657
594nm(mW/m^2);183,39383
595nm(mW/m^2);182,75546
596nm(mW/m^2);181,20203
597nm(mW/m^2);180,78049
598nm(mW/m^2);179,43071
599nm(mW/m^2);179,19638
600nm(mW/m^2);178,415909
601nm(mW/m^2);177,420227
602nm(mW/m^2);176,411804
603nm(mW/m^2);175,772614
604nm(mW/m^2);175,250015
605nm(mW/m^2);174,422989
606nm(mW/m^2);173,485458
607nm(mW/m^2);172,835846
608nm(mW/m^2);172,421707
609nm(mW/m^2);171,861359
610nm(mW/m^2);171,29373
611nm(mW/m^2);170,103638
612nm(mW/m^2);169,277557
613nm(mW/m^2);168,697479
614nm(mW/m^2);168,32373
615nm(mW/m^2);168,321991
616nm(mW/m^2);168,525574
617nm(mW/m^2);168,7034
618nm(mW/m^2);168,633011
619nm(mW/m^2);168,686111
620nm(mW/m^2);169,190186
621nm(mW/m^2);170,118591
622nm(mW/m^2);171,74478
623nm(mW/m^2);172,12999
624nm(mW/m^2);173,473816
625nm(mW/m^2);175,243454
626nm(mW/m^2);177,397827
627nm(mW/m^2);179,873154
628nm(mW/m^2);182,689972
629nm(mW/m^2);185,814224
630nm(mW/m^2);189,443619
631nm(mW/m^2);193,525253
632nm(mW/m^2);198,312592
633nm(mW/m^2);203,579544
634nm(mW/m^2);209,615509
635nm(mW/m^2);216,80063
636nm(mW/m^2);223,197083
637nm(mW/m^2);230,597046
638nm(mW/m^2);238,495895
639nm(mW/m^2);246,626373
640nm(mW/m^2);255,33066
641nm(mW/m^2);263,489929
642nm(mW/m^2);271,170319
643nm(mW/m^2);277,928528
644nm(mW/m^2);283,34515
645nm(mW/m^2);287,185211
646nm(mW/m^2);288,833679
647nm(mW/m^2);288,340271
648nm(mW/m^2);284,236481
649nm(mW/m^2);277,749115
650nm(mW/m^2);268,106293
651nm(mW/m^2);256,564453
652nm(mW/m^2);242,74675
653nm(mW/m^2);227,534271
654nm(mW/m^2);211,83862
655nm(mW/m^2);194,132462
656nm(mW/m^2);177,477081
657nm(mW/m^2);161,483322
658nm(mW/m^2);146,866974
659nm(mW/m^2);133,30513
660nm(mW/m^2);121,285912
661nm(mW/m^2);110,364563
662nm(mW/m^2);101,63293
663nm(mW/m^2);92,920013
664nm(mW/m^2);85,890701
665nm(mW/m^2);79,277
666nm(mW/m^2);73,488937
667nm(mW/m^2);68,485268
668nm(mW/m^2);64,276329
669nm(mW/m^2);60,250465
670nm(mW/m^2);56,649628
671nm(mW/m^2);53,458317
672nm(mW/m^2);50,830063
673nm(mW/m^2);48,406025
674nm(mW/m^2);46,202564
675nm(mW/m^2);44,71545
676nm(mW/m^2);42,160938
677nm(mW/m^2);40,4123
678nm(mW/m^2);38,774258
679nm(mW/m^2);37,146687
680nm(mW/m^2);35,732094
681nm(mW/m^2);34,526146
682nm(mW/m^2);33,374374
683nm(mW/m^2);32,201332
684nm(mW/m^2);31,239826
685nm(mW/m^2);30,373682
686nm(mW/m^2);29,250486
687nm(mW/m^2);27,956461
688nm(mW/m^2);26,906006
689nm(mW/m^2);26,104897
690nm(mW/m^2);25,174076
691nm(mW/m^2);24,301342
692nm(mW/m^2);23,809286
693nm(mW/m^2);23,404739
694nm(mW/m^2);22,667557
695nm(mW/m^2);21,532686
696nm(mW/m^2);20,458319
697nm(mW/m^2);19,768265
698nm(mW/m^2);19,325171
699nm(mW/m^2);18,836159
700nm(mW/m^2);18,110718
701nm(mW/m^2);17,372465
702nm(mW/m^2);16,888895
703nm(mW/m^2);16,583563
704nm(mW/m^2);16,9988
705nm(mW/m^2);15,328623
706nm(mW/m^2);14,482409
707nm(mW/m^2);13,816605
708nm(mW/m^2);13,395596
709nm(mW/m^2);12,969074
710nm(mW/m^2);12,48395
711nm(mW/m^2);11,979507
712nm(mW/m^2);11,506553
713nm(mW/m^2);11,236615
714nm(mW/m^2);11,210876
715nm(mW/m^2);11,17255
716nm(mW/m^2);10,940196
717nm(mW/m^2);10,31353
718nm(mW/m^2);9,579556
719nm(mW/m^2);8,978912
720nm(mW/m^2);8,656693
721nm(mW/m^2);8,565497
722nm(mW/m^2);8,345509
723nm(mW/m^2);7,905672
724nm(mW/m^2);7,524075
725nm(mW/m^2);7,357071
726nm(mW/m^2);7,28341
727nm(mW/m^2);7,66514
728nm(mW/m^2);6,809706
729nm(mW/m^2);6,776231
730nm(mW/m^2);6,94347
731nm(mW/m^2);6,695032
732nm(mW/m^2);5,96581
733nm(mW/m^2);5,84046
734nm(mW/m^2);4,571742
735nm(mW/m^2);4,425129
736nm(mW/m^2);4,46959
737nm(mW/m^2);4,791975
738nm(mW/m^2);4,88896
739nm(mW/m^2);4,669465
740nm(mW/m^2);4,396235
741nm(mW/m^2);4,413152
742nm(mW/m^2);4,484579
743nm(mW/m^2);4,258403
744nm(mW/m^2);3,927118
745nm(mW/m^2);3,822949
746nm(mW/m^2);3,765773
747nm(mW/m^2);3,502022
748nm(mW/m^2);3,58541
749nm(mW/m^2);2,692014
750nm(mW/m^2);2,685116
751nm(mW/m^2);2,795833
752nm(mW/m^2);2,926106
753nm(mW/m^2);2,800286
754nm(mW/m^2);2,394703
755nm(mW/m^2);2,6863
756nm(mW/m^2);1,977774
757nm(mW/m^2);2,509198
758nm(mW/m^2);2,690928
759nm(mW/m^2);2,329638
760nm(mW/m^2);1,800814
761nm(mW/m^2);1,536332
762nm(mW/m^2);1,413214
763nm(mW/m^2);1,232603
764nm(mW/m^2);1,183993
765nm(mW/m^2);1,303607
766nm(mW/m^2);1,181607
767nm(mW/m^2);0,810129
768nm(mW/m^2);0,662577
769nm(mW/m^2);0,882995
770nm(mW/m^2);1,585549
771nm(mW/m^2);2,57394
772nm(mW/m^2);2,13016
773nm(mW/m^2);1,641837
774nm(mW/m^2);1,238926
775nm(mW/m^2);1,127665
776nm(mW/m^2);1,190439
777nm(mW/m^2);1,242047
778nm(mW/m^2);1,173314
779nm(mW/m^2);1,173314
780nm(mW/m^2);1,173314
