wavelength,power
380nm(mW/m^2);0,0
381nm(mW/m^2);0,0
382nm(mW/m^2);0,0
383nm(mW/m^2);0,0
384nm(mW/m^2);0,0
385nm(mW/m^2);0,0
386nm(mW/m^2);0,0
387nm(mW/m^2);0,0
388nm(mW/m^2);0,0
389nm(mW/m^2);0,0
390nm(mW/m^2);0,0
391nm(mW/m^2);0,0
392nm(mW/m^2);0,0
393nm(mW/m^2);0,0
394nm(mW/m^2);0,0
395nm(mW/m^2);0,0
396nm(mW/m^2);0,0
397nm(mW/m^2);0,0
398nm(mW/m^2);0,7899
399nm(mW/m^2);0,27945
400nm(mW/m^2);0,58723
401nm(mW/m^2);0,69436
402nm(mW/m^2);0,55834
403nm(mW/m^2);0,130256
404nm(mW/m^2);0,440516
405nm(mW/m^2);0,986613
406nm(mW/m^2);1,572813
407nm(mW/m^2);2,63324
408nm(mW/m^2);2,459085
409nm(mW/m^2);2,84703
410nm(mW/m^2);3,238037
411nm(mW/m^2);3,739677
412nm(mW/m^2);4,389902
413nm(mW/m^2);5,190809
414nm(mW/m^2);6,45046
415nm(mW/m^2);6,912538
416nm(mW/m^2);7,942345
417nm(mW/m^2);9,228145
418nm(mW/m^2);10,776891
419nm(mW/m^2);12,690217
420nm(mW/m^2);14,863294
421nm(mW/m^2);17,551805
422nm(mW/m^2);20,802479
423nm(mW/m^2);24,615316
424nm(mW/m^2);29,89638
425nm(mW/m^2);33,960907
426nm(mW/m^2);39,512169
427nm(mW/m^2);45,883053
428nm(mW/m^2);53,38593
429nm(mW/m^2);61,276825
430nm(mW/m^2);70,22908
431nm(mW/m^2);80,174438
432nm(mW/m^2);91,281654
433nm(mW/m^2);103,417747
434nm(mW/m^2);116,908058
435nm(mW/m^2);131,2229
436nm(mW/m^2);146,593994
437nm(mW/m^2);163,360153
438nm(mW/m^2);181,301178
439nm(mW/m^2);200,283981
440nm(mW/m^2);219,415482
441nm(mW/m^2);238,62999
442nm(mW/m^2);257,401154
443nm(mW/m^2);275,678802
444nm(mW/m^2);292,162292
445nm(mW/m^2);306,397247
446nm(mW/m^2);318,68726
447nm(mW/m^2);325,227173
448nm(mW/m^2);328,754791
449nm(mW/m^2);327,119751
450nm(mW/m^2);322,246613
451nm(mW/m^2);314,4395
452nm(mW/m^2);302,133148
453nm(mW/m^2);288,24292
454nm(mW/m^2);271,603668
455nm(mW/m^2);254,811035
456nm(mW/m^2);237,689362
457nm(mW/m^2);221,283905
458nm(mW/m^2);205,761749
459nm(mW/m^2);191,787659
460nm(mW/m^2);179,98938
461nm(mW/m^2);167,761215
462nm(mW/m^2);158,147614
463nm(mW/m^2);149,680481
464nm(mW/m^2);142,759689
465nm(mW/m^2);136,657516
466nm(mW/m^2);131,440948
467nm(mW/m^2);127,366638
468nm(mW/m^2);124,8149
469nm(mW/m^2);122,340424
470nm(mW/m^2);121,956177
471nm(mW/m^2);123,32547
472nm(mW/m^2);125,433746
473nm(mW/m^2);128,624786
474nm(mW/m^2);133,181396
475nm(mW/m^2);138,764511
476nm(mW/m^2);145,493912
477nm(mW/m^2);153,17691
478nm(mW/m^2);161,466492
479nm(mW/m^2);170,82977
480nm(mW/m^2);178,482559
481nm(mW/m^2);186,525604
482nm(mW/m^2);194,18005
483nm(mW/m^2);201,16708
484nm(mW/m^2);206,76503
485nm(mW/m^2);211,43721
486nm(mW/m^2);214,568588
487nm(mW/m^2);216,322708
488nm(mW/m^2);216,879425
489nm(mW/m^2);215,555023
490nm(mW/m^2);213,1947
491nm(mW/m^2);209,3537
492nm(mW/m^2);204,52594
493nm(mW/m^2);199,540436
494nm(mW/m^2);194,166107
495nm(mW/m^2);188,628052
496nm(mW/m^2);183,239975
497nm(mW/m^2);178,307602
498nm(mW/m^2);173,957687
499nm(mW/m^2);170,2939
500nm(mW/m^2);167,160629
501nm(mW/m^2);165,22995
502nm(mW/m^2);163,603271
503nm(mW/m^2);163,86929
504nm(mW/m^2);163,143585
505nm(mW/m^2);163,650208
506nm(mW/m^2);164,693024
507nm(mW/m^2);166,1059
508nm(mW/m^2);167,893478
509nm(mW/m^2);170,256226
510nm(mW/m^2);173,147888
511nm(mW/m^2);176,450897
512nm(mW/m^2);179,979004
513nm(mW/m^2);183,662338
514nm(mW/m^2);187,320633
515nm(mW/m^2);190,84668
516nm(mW/m^2);194,128357
517nm(mW/m^2);197,16304
518nm(mW/m^2);199,964371
519nm(mW/m^2);202,665298
520nm(mW/m^2);205,45944
521nm(mW/m^2);207,100784
522nm(mW/m^2);208,612976
523nm(mW/m^2);209,366241
524nm(mW/m^2);209,459625
525nm(mW/m^2);209,60608
526nm(mW/m^2);208,610443
527nm(mW/m^2);207,829926
528nm(mW/m^2);206,590271
529nm(mW/m^2);204,887314
530nm(mW/m^2);202,983459
531nm(mW/m^2);201,56961
532nm(mW/m^2);199,75241
533nm(mW/m^2);197,51605
534nm(mW/m^2);194,92569
535nm(mW/m^2);192,691284
536nm(mW/m^2);190,358109
