wavelength,x,y,z
478.72340425531917,476.0,0.1321786,0.117532
479.5744680851064,477.0,0.1225696,0.1226744
480.4255319148936,478.0,0.1132752,0.1279928
481.27659574468083,479.0,0.1042979,0.1334528
482.1276595744681,480.0,0.09564,0.13902
482.97872340425533,481.0,0.08729955,0.1446764
483.82978723404256,482.0,0.07930804,0.1504693
484.6808510638298,483.0,0.07171776,0.1564619
485.531914893617,484.0,0.06458099,0.1627177
486.3829787234042,485.0,0.05795001,0.1693
487.2340425531915,486.0,0.05186211,0.1762431
488.0851063829787,487.0,0.04628152,0.1835581
488.93617021276594,488.0,0.04115088,0.1912735
489.7872340425532,489.0,0.03641283,0.199418
490.63829787234044,490.0,0.03201,0.20802
491.48936170212767,491.0,0.0279172,0.2171199
492.3404255319149,492.0,0.0241444,0.2267345
493.1914893617021,493.0,0.020687,0.2368571
494.04255319148933,494.0,0.0175404,0.2474812
494.8936170212766,495.0,0.0147,0.2586
495.74468085106383,496.0,0.01216179,0.2701849
496.59574468085106,497.0,0.00991996,0.2822939
497.44680851063833,498.0,0.00796724,0.2950505
498.29787234042556,499.0,0.006296346,0.308578
499.1489361702128,500.0,0.0049,0.323
500.0,501.0,0.003777173,0.3384021
500.8510638297872,502.0,0.00294532,0.3546858
501.70212765957444,503.0,0.00242488,0.3716986
502.5531914893617,504.0,0.002236293,0.3892875
503.40425531914894,505.0,0.0024,0.4073
504.25531914893617,506.0,0.00292552,0.4256299
505.1063829787234,507.0,0.00383656,0.4443096
505.95744680851067,508.0,0.00517484,0.4633944
506.8085106382979,509.0,0.00698208,0.4829395
507.6595744680851,510.0,0.0093,0.503
508.51063829787233,511.0,0.01214949,0.5235693
509.36170212765956,512.0,0.01553588,0.544512
510.2127659574468,513.0,0.01947752,0.56569
511.06382978723406,514.0,0.02399277,0.5869653
511.9148936170213,515.0,0.0291,0.6082
512.7659574468084,516.0,0.03481485,0.6293456
513.6170212765958,517.0,0.04112016,0.6503068
514.468085106383,518.0,0.04798504,0.6708752
