wavelength,power
586nm(mW/m^2),884.155000
587nm(mW/m^2),713.394000
588nm(mW/m^2),625.259000
589nm(mW/m^2),448.898000
590nm(mW/m^2),117.477000
591nm(mW/m^2),644.684000
592nm(mW/m^2),181.427000
593nm(mW/m^2),676.468000
594nm(mW/m^2),93.262000
595nm(mW/m^2),418.686000
596nm(mW/m^2),690.079000
597nm(mW/m^2),989.487000
598nm(mW/m^2),471.924000
599nm(mW/m^2),115.814000
600nm(mW/m^2),531.708000
601nm(mW/m^2),576.256000
602nm(mW/m^2),616.531000
603nm(mW/m^2),15.213000
604nm(mW/m^2),644.272000
605nm(mW/m^2),131.905000
606nm(mW/m^2),448.738000
607nm(mW/m^2),720.947000
608nm(mW/m^2),951.866000
609nm(mW/m^2),99.304000
610nm(mW/m^2),169.266000
611nm(mW/m^2),208.206000
612nm(mW/m^2),311.531000
613nm(mW/m^2),729.836000
614nm(mW/m^2),450.981000
615nm(mW/m^2),348.824000
616nm(mW/m^2),16.851000
617nm(mW/m^2),923.218000
618nm(mW/m^2),689.743000
619nm(mW/m^2),453.476000
620nm(mW/m^2),199.669000
621nm(mW/m^2),149.124000
622nm(mW/m^2),426.918000
623nm(mW/m^2),3.299000
624nm(mW/m^2),742.218000
625nm(mW/m^2),44.973000
626nm(mW/m^2),166.374000
627nm(mW/m^2),27.138000
628nm(mW/m^2),26.133000
629nm(mW/m^2),820.633000
630nm(mW/m^2),460.159000
631nm(mW/m^2),6.767000
632nm(mW/m^2),775.345000
633nm(mW/m^2),941.849000
634nm(mW/m^2),949.188000
635nm(mW/m^2),524.017000
636nm(mW/m^2),601.608000
637nm(mW/m^2),677.231000
638nm(mW/m^2),703.903000
639nm(mW/m^2),682.907000
640nm(mW/m^2),121.353000
641nm(mW/m^2),1.008000
642nm(mW/m^2),180.893000
643nm(mW/m^2),800.262000
644nm(mW/m^2),430.374000
645nm(mW/m^2),425.797000
646nm(mW/m^2),324.295000
647nm(mW/m^2),505.112000
648nm(mW/m^2),964.279000
649nm(mW/m^2),930.191000
650nm(mW/m^2),519.547000
651nm(mW/m^2),525.421000
652nm(mW/m^2),950.607000
653nm(mW/m^2),701.416000
654nm(mW/m^2),760.025000
655nm(mW/m^2),305.511000
656nm(mW/m^2),320.351000
657nm(mW/m^2),82.565000
658nm(mW/m^2),156.799000
659nm(mW/m^2),80.439000
660nm(mW/m^2),514.748000
661nm(mW/m^2),970.528000
662nm(mW/m^2),356.239000
663nm(mW/m^2),314.896000
664nm(mW/m^2),152.985000
665nm(mW/m^2),644.035000
666nm(mW/m^2),651.348000
667nm(mW/m^2),718.895000
668nm(mW/m^2),319.351000
669nm(mW/m^2),581.909000
670nm(mW/m^2),454.903000
671nm(mW/m^2),349.888000
672nm(mW/m^2),263.161000
673nm(mW/m^2),262.005000
674nm(mW/m^2),591.507000
675nm(mW/m^2),167.652000
676nm(mW/m^2),984.015000
677nm(mW/m^2),801.434000
678nm(mW/m^2),620.358000
679nm(mW/m^2),408.117000
680nm(mW/m^2),52.027000
681nm(mW/m^2),584.497000
682nm(mW/m^2),113.857000
683nm(mW/m^2),98.357000
684nm(mW/m^2),524.956000
685nm(mW/m^2),401.501000
686nm(mW/m^2),102.415000
687nm(mW/m^2),336.817000
688nm(mW/m^2),417.507000
689nm(mW/m^2),793.488000
690nm(mW/m^2),46.818000
691nm(mW/m^2),182.947000
692nm(mW/m^2),717.379000
693nm(mW/m^2),872.515000
694nm(mW/m^2),856.989000
695nm(mW/m^2),11.533000
696nm(mW/m^2),440.574000
697nm(mW/m^2),58.556000
698nm(mW/m^2),617.354000
699nm(mW/m^2),224.529000
700nm(mW/m^2),853.372000
701nm(mW/m^2),33.387000
702nm(mW/m^2),81.344000
703nm(mW/m^2),552.911000
704nm(mW/m^2),422.051000
705nm(mW/m^2),105.254000
706nm(mW/m^2),682.812000
707nm(mW/m^2),417.108000
708nm(mW/m^2),265.785000
709nm(mW/m^2),990.366000
710nm(mW/m^2),569.888000
711nm(mW/m^2),100.887000
712nm(mW/m^2),56.185000
713nm(mW/m^2),106.609000
714nm(mW/m^2),832.638000
715nm(mW/m^2),630.241000
716nm(mW/m^2),344.992000
717nm(mW/m^2),41.745000
718nm(mW/m^2),831.986000
719nm(mW/m^2),65.702000
720nm(mW/m^2),414.185000
721nm(mW/m^2),169.822000
722nm(mW/m^2),14.873000
723nm(mW/m^2),920.115000
724nm(mW/m^2),998.047000
725nm(mW/m^2),17.359000
726nm(mW/m^2),30.685000
727nm(mW/m^2),466.094000
728nm(mW/m^2),616.449000
729nm(mW/m^2),961.876000
730nm(mW/m^2),492.811000
731nm(mW/m^2),399.389000
732nm(mW/m^2),61.872000
733nm(mW/m^2),975.317000
734nm(mW/m^2),94.282000
735nm(mW/m^2),816.089000
736nm(mW/m^2),490.176000
737nm(mW/m^2),321.776000
738nm(mW/m^2),29.059000
739nm(mW/m^2),193.204000
740nm(mW/m^2),980.443000
741nm(mW/m^2),782.252000
742nm(mW/m^2),552.841000
743nm(mW/m^2),510.423000
744nm(mW/m^2),710.272000
745nm(mW/m^2),9.629000
746nm(mW/m^2),995.013000
747nm(mW/m^2),783.927000
748nm(mW/m^2),572.359000
749nm(mW/m^2),364.028000
750nm(mW/m^2),71.784000
751nm(mW/m^2),705.545000
752nm(mW/m^2),307.745000
753nm(mW/m^2),210.402000
754nm(mW/m^2),416.628000
755nm(mW/m^2),447.047000
756nm(mW/m^2),285.702000
757nm(mW/m^2),178.936000
758nm(mW/m^2),285.551000
759nm(mW/m^2),320.594000
760nm(mW/m^2),45.299000
761nm(mW/m^2),87.441000
762nm(mW/m^2),995.747000
763nm(mW/m^2),979.161000
764nm(mW/m^2),746.981000
765nm(mW/m^2),453.222000
766nm(mW/m^2),383.562000
767nm(mW/m^2),428.709000
768nm(mW/m^2),343.856000
769nm(mW/m^2),270.707000
770nm(mW/m^2),308.949000
771nm(mW/m^2),723.291000
772nm(mW/m^2),399.787000
773nm(mW/m^2),896.145000
774nm(mW/m^2),748.422000
775nm(mW/m^2),983.908000
776nm(mW/m^2),34.507000
