wavelength,power
393nm(mW/m^2),25.098000
394nm(mW/m^2),79.876000
395nm(mW/m^2),149.722000
396nm(mW/m^2),164.746000
397nm(mW/m^2),120.365000
398nm(mW/m^2),79.367000
399nm(mW/m^2),11.246000
400nm(mW/m^2),220.414000
401nm(mW/m^2),367.513000
402nm(mW/m^2),527.838000
403nm(mW/m^2),685.402000
404nm(mW/m^2),810.613000
405nm(mW/m^2),903.471000
406nm(mW/m^2),978.695000
407nm(mW/m^2),53.358000
408nm(mW/m^2),133.872000
409nm(mW/m^2),23.525000
410nm(mW/m^2),357.558000
411nm(mW/m^2),571.833000
412nm(mW/m^2),892.166000
413nm(mW/m^2),324.336000
414nm(mW/m^2),821.618000
415nm(mW/m^2),355.408000
416nm(mW/m^2),955.058000
417nm(mW/m^2),614.206000
418nm(mW/m^2),337.736000
419nm(mW/m^2),26.802000
420nm(mW/m^2),380.693000
421nm(mW/m^2),737.095000
422nm(mW/m^2),235.239000
423nm(mW/m^2),875.123000
424nm(mW/m^2),819.356000
425nm(mW/m^2),1.453000
426nm(mW/m^2),565.825000
427nm(mW/m^2),430.813000
428nm(mW/m^2),587.379000
429nm(mW/m^2),200.214000
430nm(mW/m^2),144.657000
431nm(mW/m^2),518.002000
432nm(mW/m^2),311.779000
433nm(mW/m^2),464.256000
434nm(mW/m^2),15.733000
435nm(mW/m^2),231.319000
436nm(mW/m^2),757.347000
437nm(mW/m^2),745.789000
438nm(mW/m^2),94.948000
439nm(mW/m^2),0.931000
440nm(mW/m^2),64.735000
441nm(mW/m^2),442.497000
442nm(mW/m^2),517.487000
443nm(mW/m^2),189.369000
444nm(mW/m^2),98.656000
445nm(mW/m^2),328.094000
446nm(mW/m^2),750.061000
447nm(mW/m^2),433.838000
448nm(mW/m^2),646.179000
449nm(mW/m^2),77.298000
450nm(mW/m^2),599.289000
451nm(mW/m^2),66.376000
452nm(mW/m^2),970.886000
453nm(mW/m^2),871.628000
454nm(mW/m^2),672.318000
455nm(mW/m^2),19.191000
456nm(mW/m^2),441.391000
457nm(mW/m^2),792.236000
458nm(mW/m^2),370.621000
459nm(mW/m^2),485.779000
460nm(mW/m^2),182.648000
461nm(mW/m^2),492.096000
462nm(mW/m^2),601.906000
463nm(mW/m^2),250.656000
464nm(mW/m^2),687.965000
465nm(mW/m^2),618.492000
466nm(mW/m^2),75.874000
467nm(mW/m^2),142.334000
468nm(mW/m^2),605.125000
469nm(mW/m^2),788.383000
470nm(mW/m^2),562.241000
471nm(mW/m^2),991.814000
472nm(mW/m^2),14.975000
473nm(mW/m^2),803.185000
474nm(mW/m^2),19.619000
475nm(mW/m^2),56.274000
476nm(mW/m^2),457.733000
477nm(mW/m^2),393.585000
478nm(mW/m^2),705.917000
479nm(mW/m^2),312.134000
480nm(mW/m^2),907.082000
481nm(mW/m^2),404.503000
482nm(mW/m^2),593.941000
483nm(mW/m^2),478.355000
484nm(mW/m^2),53.756000
485nm(mW/m^2),868.622000
486nm(mW/m^2),252.472000
487nm(mW/m^2),950.043000
488nm(mW/m^2),82.977000
489nm(mW/m^2),156.876000
490nm(mW/m^2),478.134000
491nm(mW/m^2),770.432000
492nm(mW/m^2),48.526000
493nm(mW/m^2),655.151000
494nm(mW/m^2),484.222000
495nm(mW/m^2),234.528000
496nm(mW/m^2),37.766000
497nm(mW/m^2),30.968000
498nm(mW/m^2),273.743000
499nm(mW/m^2),830.742000
500nm(mW/m^2),637.115000
501nm(mW/m^2),6.767000
502nm(mW/m^2),829.506000
503nm(mW/m^2),163.078000
504nm(mW/m^2),715.385000
505nm(mW/m^2),41.111000
506nm(mW/m^2),581.017000
507nm(mW/m^2),1.437000
508nm(mW/m^2),157.921000
509nm(mW/m^2),2.752000
510nm(mW/m^2),544.128000
511nm(mW/m^2),76.004000
512nm(mW/m^2),830.826000
513nm(mW/m^2),72.628000
514nm(mW/m^2),581.116000
515nm(mW/m^2),403.305000
516nm(mW/m^2),236.443000
517nm(mW/m^2),79.117000
518nm(mW/m^2),809.563000
519nm(mW/m^2),417.923000
520nm(mW/m^2),806.725000
521nm(mW/m^2),43.518000
522nm(mW/m^2),86.914000
523nm(mW/m^2),958.176000
524nm(mW/m^2),703.598000
525nm(mW/m^2),4.895000
526nm(mW/m^2),67.947000
527nm(mW/m^2),802.795000
528nm(mW/m^2),596.024000
529nm(mW/m^2),383.163000
530nm(mW/m^2),906.998000
531nm(mW/m^2),140.533000
532nm(mW/m^2),266.388000
533nm(mW/m^2),50.972000
534nm(mW/m^2),903.374000
535nm(mW/m^2),364.532000
536nm(mW/m^2),859.512000
537nm(mW/m^2),280.434000
538nm(mW/m^2),602.821000
539nm(mW/m^2),20.355000
540nm(mW/m^2),624.802000
541nm(mW/m^2),380.608000
542nm(mW/m^2),92.644000
543nm(mW/m^2),772.461000
544nm(mW/m^2),532.906000
545nm(mW/m^2),399.033000
546nm(mW/m^2),457.054000
547nm(mW/m^2),634.903000
548nm(mW/m^2),894.516000
549nm(mW/m^2),100.403000
550nm(mW/m^2),291.451000
551nm(mW/m^2),591.232000
552nm(mW/m^2),21.553000
553nm(mW/m^2),559.036000
554nm(mW/m^2),118.141000
555nm(mW/m^2),823.212000
556nm(mW/m^2),695.763000
557nm(mW/m^2),708.992000
558nm(mW/m^2),706.131000
559nm(mW/m^2),646.652000
560nm(mW/m^2),56.546000
561nm(mW/m^2),494.049000
562nm(mW/m^2),444.565000
563nm(mW/m^2),410.507000
564nm(mW/m^2),384.323000
565nm(mW/m^2),347.748000
566nm(mW/m^2),322.922000
567nm(mW/m^2),358.536000
568nm(mW/m^2),450.775000
569nm(mW/m^2),506.851000
570nm(mW/m^2),485.611000
571nm(mW/m^2),429.794000
572nm(mW/m^2),414.505000
573nm(mW/m^2),432.602000
574nm(mW/m^2),444.931000
575nm(mW/m^2),367.249000
576nm(mW/m^2),69.626000
577nm(mW/m^2),584.198000
578nm(mW/m^2),177.338000
579nm(mW/m^2),98.613000
580nm(mW/m^2),745.178000
581nm(mW/m^2),239.182000
582nm(mW/m^2),486.877000
583nm(mW/m^2),735.184000
584nm(mW/m^2),994.431000
585nm(mW/m^2),225.784000
586nm(mW/m^2),403.595000
587nm(mW/m^2),493.027000
588nm(mW/m^2),511.292000
589nm(mW/m^2),399.231000
590nm(mW/m^2),208.466000
591nm(mW/m^2),972.778000
592nm(mW/m^2),773.987000
593nm(mW/m^2),509.735000
594nm(mW/m^2),92.148000
595nm(mW/m^2),501.266000
596nm(mW/m^2),822.708000
597nm(mW/m^2),140.213000
598nm(mW/m^2),539.444000
599nm(mW/m^2),25.436000
600nm(mW/m^2),460.327000
601nm(mW/m^2),772.369000
602nm(mW/m^2),0.578000
603nm(mW/m^2),434.525000
604nm(mW/m^2),85.643000
605nm(mW/m^2),224.609000
606nm(mW/m^2),666.565000
607nm(mW/m^2),316.788000
608nm(mW/m^2),113.327000
