wavelength,power
557nm(mW/m^2),65.048000
558nm(mW/m^2),43.129000
559nm(mW/m^2),722.473000
560nm(mW/m^2),15.921000
561nm(mW/m^2),801.804000
562nm(mW/m^2),635.971000
563nm(mW/m^2),494.827000
564nm(mW/m^2),381.775000
565nm(mW/m^2),276.718000
566nm(mW/m^2),160.492000
567nm(mW/m^2),0.058000
568nm(mW/m^2),797.714000
569nm(mW/m^2),591.949000
570nm(mW/m^2),412.308000
571nm(mW/m^2),144.394000
572nm(mW/m^2),745.621000
573nm(mW/m^2),309.326000
574nm(mW/m^2),8.163000
575nm(mW/m^2),790.558000
576nm(mW/m^2),438.995000
577nm(mW/m^2),92.308000
578nm(mW/m^2),522.537000
579nm(mW/m^2),361.481000
580nm(mW/m^2),934.219000
581nm(mW/m^2),977.585000
582nm(mW/m^2),686.493000
583nm(mW/m^2),630.661000
584nm(mW/m^2),843.872000
585nm(mW/m^2),106.781000
586nm(mW/m^2),320.221000
587nm(mW/m^2),489.838000
588nm(mW/m^2),622.345000
589nm(mW/m^2),263.962000
590nm(mW/m^2),429.398000
591nm(mW/m^2),491.745000
592nm(mW/m^2),978.806000
593nm(mW/m^2),65.657000
594nm(mW/m^2),39.383000
595nm(mW/m^2),75.546000
596nm(mW/m^2),20.203000
597nm(mW/m^2),78.049000
598nm(mW/m^2),43.071000
599nm(mW/m^2),19.638000
600nm(mW/m^2),415.909000
601nm(mW/m^2),420.227000
602nm(mW/m^2),411.804000
603nm(mW/m^2),772.614000
604nm(mW/m^2),250.015000
605nm(mW/m^2),422.989000
606nm(mW/m^2),485.458000
607nm(mW/m^2),835.846000
608nm(mW/m^2),421.707000
609nm(mW/m^2),861.359000
610nm(mW/m^2),29.373000
611nm(mW/m^2),103.638000
612nm(mW/m^2),277.557000
613nm(mW/m^2),697.479000
614nm(mW/m^2),32.373000
615nm(mW/m^2),321.991000
616nm(mW/m^2),525.574000
617nm(mW/m^2),7.034000
618nm(mW/m^2),633.011000
619nm(mW/m^2),686.111000
620nm(mW/m^2),190.186000
621nm(mW/m^2),118.591000
622nm(mW/m^2),74.478000
623nm(mW/m^2),12.999000
624nm(mW/m^2),473.816000
625nm(mW/m^2),243.454000
626nm(mW/m^2),397.827000
627nm(mW/m^2),873.154000
628nm(mW/m^2),689.972000
629nm(mW/m^2),814.224000
630nm(mW/m^2),443.619000
631nm(mW/m^2),525.253000
632nm(mW/m^2),312.592000
633nm(mW/m^2),579.544000
634nm(mW/m^2),615.509000
635nm(mW/m^2),80.063000
636nm(mW/m^2),197.083000
637nm(mW/m^2),597.046000
638nm(mW/m^2),495.895000
639nm(mW/m^2),626.373000
640nm(mW/m^2),33.066000
641nm(mW/m^2),489.929000
642nm(mW/m^2),170.319000
643nm(mW/m^2),928.528000
644nm(mW/m^2),34.515000
645nm(mW/m^2),185.211000
646nm(mW/m^2),833.679000
647nm(mW/m^2),340.271000
648nm(mW/m^2),236.481000
649nm(mW/m^2),749.115000
650nm(mW/m^2),106.293000
651nm(mW/m^2),564.453000
652nm(mW/m^2),74.675000
653nm(mW/m^2),534.271000
654nm(mW/m^2),83.862000
655nm(mW/m^2),132.462000
656nm(mW/m^2),477.081000
657nm(mW/m^2),483.322000
658nm(mW/m^2),866.974000
659nm(mW/m^2),30.513000
660nm(mW/m^2),285.912000
661nm(mW/m^2),364.563000
662nm(mW/m^2),63.293000
663nm(mW/m^2),920.013000
664nm(mW/m^2),890.701000
665nm(mW/m^2),0.277000
666nm(mW/m^2),488.937000
667nm(mW/m^2),485.268000
668nm(mW/m^2),276.329000
669nm(mW/m^2),250.465000
670nm(mW/m^2),649.628000
671nm(mW/m^2),458.317000
672nm(mW/m^2),830.063000
673nm(mW/m^2),406.025000
674nm(mW/m^2),202.564000
675nm(mW/m^2),71.545000
676nm(mW/m^2),160.938000
677nm(mW/m^2),4.123000
678nm(mW/m^2),774.258000
679nm(mW/m^2),146.687000
680nm(mW/m^2),732.094000
681nm(mW/m^2),526.146000
682nm(mW/m^2),374.374000
683nm(mW/m^2),201.332000
684nm(mW/m^2),239.826000
685nm(mW/m^2),373.682000
686nm(mW/m^2),250.486000
687nm(mW/m^2),956.461000
688nm(mW/m^2),906.006000
689nm(mW/m^2),104.897000
690nm(mW/m^2),174.076000
691nm(mW/m^2),301.342000
692nm(mW/m^2),809.286000
693nm(mW/m^2),404.739000
694nm(mW/m^2),667.557000
695nm(mW/m^2),532.686000
696nm(mW/m^2),458.319000
697nm(mW/m^2),768.265000
698nm(mW/m^2),325.171000
699nm(mW/m^2),836.159000
700nm(mW/m^2),110.718000
701nm(mW/m^2),372.465000
702nm(mW/m^2),888.895000
703nm(mW/m^2),583.563000
704nm(mW/m^2),9.988000
705nm(mW/m^2),328.623000
706nm(mW/m^2),482.409000
707nm(mW/m^2),816.605000
708nm(mW/m^2),395.596000
709nm(mW/m^2),969.074000
710nm(mW/m^2),48.395000
711nm(mW/m^2),979.507000
712nm(mW/m^2),506.553000
713nm(mW/m^2),236.615000
714nm(mW/m^2),210.876000
715nm(mW/m^2),17.255000
716nm(mW/m^2),940.196000
717nm(mW/m^2),31.353000
718nm(mW/m^2),579.556000
719nm(mW/m^2),978.912000
720nm(mW/m^2),656.693000
721nm(mW/m^2),565.497000
722nm(mW/m^2),345.509000
723nm(mW/m^2),905.672000
724nm(mW/m^2),524.075000
725nm(mW/m^2),357.071000
726nm(mW/m^2),28.341000
727nm(mW/m^2),66.514000
728nm(mW/m^2),809.706000
729nm(mW/m^2),776.231000
730nm(mW/m^2),94.347000
731nm(mW/m^2),695.032000
732nm(mW/m^2),96.581000
733nm(mW/m^2),84.046000
734nm(mW/m^2),571.742000
735nm(mW/m^2),425.129000
736nm(mW/m^2),46.959000
737nm(mW/m^2),791.975000
738nm(mW/m^2),88.896000
739nm(mW/m^2),669.465000
740nm(mW/m^2),396.235000
741nm(mW/m^2),413.152000
742nm(mW/m^2),484.579000
743nm(mW/m^2),258.403000
744nm(mW/m^2),927.118000
745nm(mW/m^2),822.949000
746nm(mW/m^2),765.773000
747nm(mW/m^2),502.022000
748nm(mW/m^2),58.541000
749nm(mW/m^2),692.014000
750nm(mW/m^2),685.116000
751nm(mW/m^2),795.833000
752nm(mW/m^2),926.106000
753nm(mW/m^2),800.286000
754nm(mW/m^2),394.703000
755nm(mW/m^2),6.863000
756nm(mW/m^2),977.774000
757nm(mW/m^2),509.198000
758nm(mW/m^2),690.928000
759nm(mW/m^2),329.638000
760nm(mW/m^2),800.814000
761nm(mW/m^2),536.332000
762nm(mW/m^2),413.214000
763nm(mW/m^2),232.603000
764nm(mW/m^2),183.993000
765nm(mW/m^2),303.607000
766nm(mW/m^2),181.607000
767nm(mW/m^2),810.129000
768nm(mW/m^2),662.577000
769nm(mW/m^2),882.995000
770nm(mW/m^2),585.549000
771nm(mW/m^2),57.394000
772nm(mW/m^2),13.016000
773nm(mW/m^2),641.837000
774nm(mW/m^2),238.926000
775nm(mW/m^2),127.665000
776nm(mW/m^2),190.439000
777nm(mW/m^2),242.047000
778nm(mW/m^2),173.314000
779nm(mW/m^2),173.314000
780nm(mW/m^2),173.314000
