wavelength,power
398nm(mW/m^2),7.899000
399nm(mW/m^2),27.945000
400nm(mW/m^2),58.723000
401nm(mW/m^2),69.436000
402nm(mW/m^2),55.834000
403nm(mW/m^2),130.256000
404nm(mW/m^2),440.516000
405nm(mW/m^2),986.613000
406nm(mW/m^2),572.813000
407nm(mW/m^2),63.324000
408nm(mW/m^2),459.085000
409nm(mW/m^2),84.703000
410nm(mW/m^2),238.037000
411nm(mW/m^2),739.677000
412nm(mW/m^2),389.902000
413nm(mW/m^2),190.809000
414nm(mW/m^2),45.046000
415nm(mW/m^2),912.538000
416nm(mW/m^2),942.345000
417nm(mW/m^2),228.145000
418nm(mW/m^2),776.891000
419nm(mW/m^2),690.217000
420nm(mW/m^2),863.294000
421nm(mW/m^2),551.805000
422nm(mW/m^2),802.479000
423nm(mW/m^2),615.316000
424nm(mW/m^2),89.638000
425nm(mW/m^2),960.907000
426nm(mW/m^2),512.169000
427nm(mW/m^2),883.053000
428nm(mW/m^2),38.593000
429nm(mW/m^2),276.825000
430nm(mW/m^2),22.908000
431nm(mW/m^2),174.438000
432nm(mW/m^2),281.654000
433nm(mW/m^2),417.747000
434nm(mW/m^2),908.058000
435nm(mW/m^2),2.229000
436nm(mW/m^2),593.994000
437nm(mW/m^2),360.153000
438nm(mW/m^2),301.178000
439nm(mW/m^2),283.981000
440nm(mW/m^2),415.482000
441nm(mW/m^2),62.999000
442nm(mW/m^2),401.154000
443nm(mW/m^2),678.802000
444nm(mW/m^2),162.292000
445nm(mW/m^2),397.247000
446nm(mW/m^2),68.726000
447nm(mW/m^2),227.173000
448nm(mW/m^2),754.791000
449nm(mW/m^2),119.751000
450nm(mW/m^2),246.613000
451nm(mW/m^2),4.395000
452nm(mW/m^2),133.148000
453nm(mW/m^2),24.292000
454nm(mW/m^2),603.668000
455nm(mW/m^2),811.035000
456nm(mW/m^2),689.362000
457nm(mW/m^2),283.905000
458nm(mW/m^2),761.749000
459nm(mW/m^2),787.659000
460nm(mW/m^2),98.938000
461nm(mW/m^2),761.215000
462nm(mW/m^2),147.614000
463nm(mW/m^2),680.481000
464nm(mW/m^2),759.689000
465nm(mW/m^2),657.516000
466nm(mW/m^2),440.948000
467nm(mW/m^2),366.638000
468nm(mW/m^2),8.149000
469nm(mW/m^2),340.424000
470nm(mW/m^2),956.177000
471nm(mW/m^2),32.547000
472nm(mW/m^2),433.746000
473nm(mW/m^2),624.786000
474nm(mW/m^2),181.396000
475nm(mW/m^2),764.511000
476nm(mW/m^2),493.912000
477nm(mW/m^2),17.691000
478nm(mW/m^2),466.492000
479nm(mW/m^2),82.977000
480nm(mW/m^2),482.559000
481nm(mW/m^2),525.604000
482nm(mW/m^2),18.005000
483nm(mW/m^2),16.708000
484nm(mW/m^2),76.503000
485nm(mW/m^2),43.721000
486nm(mW/m^2),568.588000
487nm(mW/m^2),322.708000
488nm(mW/m^2),879.425000
489nm(mW/m^2),555.023000
490nm(mW/m^2),1.947000
491nm(mW/m^2),3.537000
492nm(mW/m^2),52.594000
493nm(mW/m^2),540.436000
494nm(mW/m^2),166.107000
495nm(mW/m^2),628.052000
496nm(mW/m^2),239.975000
497nm(mW/m^2),307.602000
498nm(mW/m^2),957.687000
499nm(mW/m^2),2.939000
500nm(mW/m^2),160.629000
501nm(mW/m^2),22.995000
502nm(mW/m^2),603.271000
503nm(mW/m^2),86.929000
504nm(mW/m^2),143.585000
505nm(mW/m^2),650.208000
506nm(mW/m^2),693.024000
507nm(mW/m^2),1.059000
508nm(mW/m^2),893.478000
509nm(mW/m^2),256.226000
510nm(mW/m^2),147.888000
511nm(mW/m^2),450.897000
512nm(mW/m^2),979.004000
513nm(mW/m^2),662.338000
514nm(mW/m^2),320.633000
515nm(mW/m^2),84.668000
516nm(mW/m^2),128.357000
517nm(mW/m^2),16.304000
518nm(mW/m^2),964.371000
519nm(mW/m^2),665.298000
520nm(mW/m^2),45.944000
521nm(mW/m^2),100.784000
522nm(mW/m^2),612.976000
523nm(mW/m^2),366.241000
524nm(mW/m^2),459.625000
525nm(mW/m^2),60.608000
526nm(mW/m^2),610.443000
527nm(mW/m^2),829.926000
528nm(mW/m^2),590.271000
529nm(mW/m^2),887.314000
530nm(mW/m^2),983.459000
531nm(mW/m^2),56.961000
532nm(mW/m^2),75.241000
533nm(mW/m^2),51.605000
534nm(mW/m^2),92.569000
535nm(mW/m^2),691.284000
536nm(mW/m^2),358.109000
537nm(mW/m^2),5.859000
538nm(mW/m^2),679.291000
539nm(mW/m^2),412.064000
540nm(mW/m^2),18.869000
541nm(mW/m^2),235.077000
542nm(mW/m^2),670.654000
543nm(mW/m^2),477.951000
544nm(mW/m^2),394.043000
545nm(mW/m^2),259.583000
546nm(mW/m^2),163.086000
547nm(mW/m^2),145.004000
548nm(mW/m^2),294.556000
549nm(mW/m^2),585.785000
550nm(mW/m^2),59.113000
551nm(mW/m^2),710.312000
552nm(mW/m^2),491.211000
553nm(mW/m^2),377.426000
554nm(mW/m^2),284.088000
555nm(mW/m^2),360.504000
556nm(mW/m^2),637.939000
